,yardline_100,total_num_plays,drive_end_transition,num_plays_of_type,fraction_of_plays_at_yardline
134,17.0,446,TOUCHDOWN,233,0.5224215246636771
135,17.0,446,TURNOVER,44,0.09865470852017937
136,18.0,438,BLOCKED_OR_MISSED_FG,11,0.02511415525114155
137,18.0,438,BLOCKED_PUNT,0,0.0
138,18.0,438,DOWNS,19,0.04337899543378995
139,18.0,438,FIELD_GOAL,164,0.3744292237442922
140,18.0,438,PUNT,2,0.0045662100456621
141,18.0,438,SAFETY,0,0.0
142,18.0,438,TOUCHDOWN,214,0.4885844748858447
143,18.0,438,TURNOVER,28,0.0639269406392694
144,19.0,470,BLOCKED_OR_MISSED_FG,22,0.04680851063829787
145,19.0,470,BLOCKED_PUNT,0,0.0
146,19.0,470,DOWNS,13,0.027659574468085105
147,19.0,470,FIELD_GOAL,164,0.34893617021276596
148,19.0,470,PUNT,2,0.00425531914893617
149,19.0,470,SAFETY,0,0.0
150,19.0,470,TOUCHDOWN,240,0.5106382978723404
151,19.0,470,TURNOVER,29,0.06170212765957447
152,20.0,518,BLOCKED_OR_MISSED_FG,23,0.0444015444015444
153,20.0,518,BLOCKED_PUNT,0,0.0
154,20.0,518,DOWNS,18,0.03474903474903475
155,20.0,518,FIELD_GOAL,185,0.35714285714285715
156,20.0,518,PUNT,1,0.0019305019305019305
157,20.0,518,SAFETY,0,0.0
158,20.0,518,TOUCHDOWN,256,0.4942084942084942
159,20.0,518,TURNOVER,35,0.06756756756756757
160,21.0,452,BLOCKED_OR_MISSED_FG,14,0.030973451327433628
161,21.0,452,BLOCKED_PUNT,0,0.0
162,21.0,452,DOWNS,13,0.028761061946902654
163,21.0,452,FIELD_GOAL,158,0.3495575221238938
164,21.0,452,PUNT,4,0.008849557522123894
165,21.0,452,SAFETY,0,0.0
166,21.0,452,TOUCHDOWN,229,0.5066371681415929
167,21.0,452,TURNOVER,34,0.0752212389380531
168,22.0,431,BLOCKED_OR_MISSED_FG,23,0.05336426914153132
169,22.0,431,BLOCKED_PUNT,0,0.0
170,22.0,431,DOWNS,20,0.04640371229698376
171,22.0,431,FIELD_GOAL,141,0.3271461716937355
172,22.0,431,PUNT,3,0.0069605568445475635
173,22.0,431,SAFETY,0,0.0
174,22.0,431,TOUCHDOWN,214,0.4965197215777262
175,22.0,431,TURNOVER,30,0.06960556844547564
176,23.0,486,BLOCKED_OR_MISSED_FG,27,0.05555555555555555
177,23.0,486,BLOCKED_PUNT,0,0.0
178,23.0,486,DOWNS,12,0.024691358024691357
179,23.0,486,FIELD_GOAL,207,0.42592592592592593
180,23.0,486,PUNT,2,0.00411522633744856
181,23.0,486,SAFETY,0,0.0
182,23.0,486,TOUCHDOWN,203,0.4176954732510288
183,23.0,486,TURNOVER,35,0.0720164609053498
184,24.0,499,BLOCKED_OR_MISSED_FG,20,0.04008016032064128
185,24.0,499,BLOCKED_PUNT,0,0.0
186,24.0,499,DOWNS,12,0.02404809619238477
187,24.0,499,FIELD_GOAL,188,0.37675350701402804
188,24.0,499,PUNT,3,0.006012024048096192
189,24.0,499,SAFETY,0,0.0
190,24.0,499,TOUCHDOWN,237,0.4749498997995992
191,24.0,499,TURNOVER,39,0.0781563126252505
192,25.0,571,BLOCKED_OR_MISSED_FG,34,0.0595446584938704
